year,age_name,cases,age,period,cohort,log_cases
1997,65-69 years,311245.44484062993,67.5,1997,1929.5,12.648340304497042
1998,65-69 years,317774.46809182904,67.5,1998,1930.5,12.669100337190907
1999,65-69 years,324553.7815660609,67.5,1999,1931.5,12.690209619263458
2000,65-69 years,330138.7328353424,67.5,2000,1932.5,12.70727127665465
2001,65-69 years,333358.2800069404,67.5,2001,1933.5,12.716976106287609
2002,65-69 years,333298.71214786416,67.5,2002,1934.5,12.716797400652686
2003,65-69 years,330894.4960482095,67.5,2003,1935.5,12.709557882599812
2004,65-69 years,328104.82231014525,67.5,2004,1936.5,12.701091464327083
2005,65-69 years,328451.0132326027,67.5,2005,1937.5,12.702146027796742
2006,65-69 years,330896.12785850285,67.5,2006,1938.5,12.709562814085098
2007,65-69 years,334099.3804411886,67.5,2007,1939.5,12.719196767048745
2008,65-69 years,339151.78808241826,67.5,2008,1940.5,12.734205987134828
2009,65-69 years,344279.5765325087,67.5,2009,1941.5,12.749212233365554
2010,65-69 years,349464.94871345034,67.5,2010,1942.5,12.764161407335711
2011,65-69 years,358022.02898346714,67.5,2011,1943.5,12.78835259008342
2012,65-69 years,371821.0505963641,67.5,2012,1944.5,12.826170660193378
2013,65-69 years,383136.2561004312,67.5,2013,1945.5,12.85614857498263
2014,65-69 years,402602.26385706186,67.5,2014,1946.5,12.905706899102462
2015,65-69 years,414138.4616043746,67.5,2015,1947.5,12.93395805986027
2016,65-69 years,431698.0612495166,67.5,2016,1948.5,12.97548400699758
2017,65-69 years,443689.7146778832,67.5,2017,1949.5,13.002883010120494
2018,65-69 years,459286.741521492,67.5,2018,1950.5,13.037432180476966
2019,65-69 years,471426.43191319774,67.5,2019,1951.5,13.063520460224652
2020,65-69 years,487350.5554887921,67.5,2020,1952.5,13.096741021488572
2021,65-69 years,506503.966835317,67.5,2021,1953.5,13.135289408812957
1990,70-74 years,322090.3459760009,72.5,1990,1917.5,12.68259046745137
1991,70-74 years,333648.1732865463,72.5,1991,1918.5,12.717845340542219
1992,70-74 years,346184.61558722507,72.5,1992,1919.5,12.75473037143073
1993,70-74 years,359172.63354321674,72.5,1993,1920.5,12.791561209439907
1994,70-74 years,373144.6925375719,72.5,1994,1921.5,12.829724218978427
1995,70-74 years,386608.40561396175,72.5,1995,1922.5,12.86517017451878
1996,70-74 years,400088.9559284301,72.5,1996,1923.5,12.89944469062727
1997,70-74 years,415025.6624905441,72.5,1997,1924.5,12.936098044114255
1998,70-74 years,431189.4222919452,72.5,1998,1925.5,12.974305086576866
1999,70-74 years,446624.0468851588,72.5,1999,1926.5,13.009474700302272
2000,70-74 years,460143.2752939001,72.5,2000,1927.5,13.039295361233187
2001,70-74 years,468079.1567746272,72.5,2001,1928.5,13.056394835393329
2002,70-74 years,469103.3179788893,72.5,2002,1929.5,13.058580449089554
2003,70-74 years,466447.74058398535,72.5,2003,1930.5,13.052903412383287
2004,70-74 years,465426.4741693202,72.5,2004,1931.5,13.050711561561554
2005,70-74 years,468398.0167694388,72.5,2005,1932.5,13.057075811577619
2006,70-74 years,476584.47080445074,72.5,2006,1933.5,13.074402358088626
2007,70-74 years,486177.1027427227,72.5,2007,1934.5,13.094330302298978
2008,70-74 years,495144.52651480347,72.5,2008,1935.5,13.112606991302565
2009,70-74 years,502874.8436945645,72.5,2009,1936.5,13.128098586992794
2010,70-74 years,510915.8038833741,72.5,2010,1937.5,13.143962045526433
2011,70-74 years,517579.2853847892,72.5,2011,1938.5,13.156919932928737
2012,70-74 years,523542.5846340519,72.5,2012,1939.5,13.168375562052626
2013,70-74 years,531736.650544639,72.5,2013,1940.5,13.183905508617226
2014,70-74 years,540236.537167274,72.5,2014,1941.5,13.19976420546311
2015,70-74 years,550030.0640811981,72.5,2015,1942.5,13.217730035761344
2016,70-74 years,565717.9594230867,72.5,2016,1943.5,13.24585269574769
2017,70-74 years,589444.0996436398,72.5,2017,1944.5,13.286936864247155
